,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Expected Delivery,Availability,Returns/Exchange,Other Details
10,Visit the JUAREZ Store,"JUAREZ JRZ38C Right Handed Acoustic Guitar with Bag, Strings, Pick and Strap (Natural, 6 Strings)",,"2,027 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18
Acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce quality sound
Finger Board: Linden wood
Fretboard: Ebony wood
Size: 38 inches, cutaway
Linden binding and full wood construction with geared tuning, wood frame and steel strings"
11,Brand: Jixing,"Jixing JXNG-BLK-SC1,Black Acoustic Guitar with Kadence Foldable Guitar Stand,Kadence Tuner,Kadence String,Kadence Strap,Kadence 3 Picks,Kadence Bag & Kadence Capo (Super Combo)",,427 ratings,"₹ 3,499.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 35 mins Details",In stock.,7 Days Replacement,"The product comes in a proper packaging
This product will be an ideal pick for you
Easy to use
› See more product details"
12,Visit the YAMAHA Store,"Yamaha F310 Acoustic Guitar, Tobacco Brown Sunburst",,1 rating,"₹ 9,490.00",FREE delivery: May 1 - 2 Details,"In stock on April 29, 2021.
Order it now.",7 Days Replacement,"About this item
Traditional Western Body
Spruce Top
Yamaha Quality in an Affordable Price
Bridge Material:-Rosewood"
13,Visit the Intern Store,Intern 38-inch Cutaway Design Black Acoustic Guitar with Picks & Carry Bag,,973 ratings,"₹ 2,290.00","FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"About this item
Great looks with an innovative design to produce quality warm bright resonant tone
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Combo includes Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Branded Plectrums
Linden binding and maximum wood construction with geared tuning, wood frame and steel strings
Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches
Bag with stylish nylon made and long lasting material
Country of Origin: China"
14,Visit the JUAREZ Store,"JUAREZ JRZ38CTR/BK 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Black",,73 ratings,"₹ 3,179.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Glossy finish, Number of frets - 18, 38 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
Material : Top, Back, Sides & Neck - Linden Solid Wood, Fretboard & Bridge - ABS, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings
Linden binding and full wood construction with geared tuning, wooden frame and steel strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. . This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums"
15,Visit the Kadence Store,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys,Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (black & stand)",,378 ratings,"₹ 5,999.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 35 mins Details",In stock.,7 Days Replacement,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
Package Details:1 pack of Strings, picks, turner, foldable guitar stand, bag, strap and capo
ELECTRO-ACOUSTIC---Built-in preamp for amplified use with volume control, 4 band EQ: bass and treble, integrated tuner for fast and easy tuning.
› See more product details"
16,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black",,144 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
17,Brand: Medellin,Medellin MED-BLU-C Linden Wood Acoustic Guitar,,341 ratings,"₹ 2,399.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 34 mins Details",In stock.,7 Days Replacement,"Material: Wood
Colour: Blue
Acoustic Guitar
› See more product details"
18,Visit the Kadence Store,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Brown, Acoustic)",,557 ratings,"₹ 4,799.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 34 mins Details",In stock.,7 Days Replacement,"Scale Size(In Inchces):39
Fretboard Material:Rosewood
Bridge Material:Rosewood
Body material:Spruce Wood
Package Details:1 pack of Strings, bag, strap and picks
› See more product details"
19,Visit the Intern Store,"Intern INT-38C-SB-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",,666 ratings,"₹ 2,490.00","FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"About this item
38 inches cutaway revolutionary design and configuration to produce marvellous sound
Hi gloss sunburst color finish
Guitar bundled with accessories like smart strap, bag, strings set and 3 picks
Easy to hold for stress-free playing and ultra-portable
Quality linden wood soundboard for unsurpassed resonance
Intern hi gloss 38-inch guitar, 1 set string, bag, strap and 3 picks
Country of Origin: China"
20,Brand: Wytino,"Guitar Pick Box, Pure Natural Wood Durable to Guarantee Pick Box Set, Music Lovers for Home Christmas Gifts Guitar Accessories",-,-,"₹ 3,599.00",FREE delivery: May 14 - 18 Details,Usually dispatched in 3 to 4 days.,7 Days Replacement,"This wooden storage box is easy to store and carry picks, which can prevent the pick from dust, press and lost
Using pure natural wood, no toxic or harm to human body, durable to guarantee a long service life
Have strong abrasion resistance, using advanced technology to bring exquisite workmanship
Made of high quality wood material, sturdy and firm with fine smooth surface
A perfect guitar music gift for guitarists or music lovers contain 6 guitar picks and 1 storage box
Warranty not applicable for this product
› See more product details"
21,Brand: SPA,Green : Aroma AHF-03 Portable Guitar Bass Piano Hand and Finger Exerciser Medium Tension Hand Grip Trainer,-,-,₹ 699.00,FREE delivery: April 23 - 24 Details,In stock.,7 Days Replacement,
22,Brand: LME,"Laxmi Musical Electronics - Acoustic Pickup for veena, Violin, Guitar and All Acoustic String Instruments",,2 ratings,₹ 599.00,"FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"Turn your acoustic guitar into an acoustic-electric without expensive modifications
Easy to install: can be clip-on to guitar sound hole and connect the audio input with a standard 1/4"" connector. Clip On Guitar Pickup installation: clamped to the sound hole in parallel with the wire.
will turn your acoustic music more powerful and electric
Suitable for acoustic guitar length: 36 inch - 41 inch Suitable for acoustic guitar length: 36 inch - 41 inch Durable, Flexible and Easy To Play
Made Of Alloy And Copper Material. Captures mechanical vibrations and converts them to an electrical signal which can then be amplified, recorded, or broadcast.
› See more product details"
23,Brand: HRB MUSICALS,HRB MUSICALS GUITAR FLOOR STAND +GUITAR CAPO + ALICE STRING SET + AND GUITAR STRING WINDER,,4 ratings,₹ 629.00,"FREE delivery: Wednesday, April 28 Details",In stock.,7 Days Replacement,"For guitar floor stand its solid body ,string set, capo, string winder Its Fits Perfectly on Electric and Acoustic Guitars, Ukulele, Banjo, Bass, Folk Guitars and Mandolin EASY TO MOVE & USE - Super Fast to Change Between Frets. Quickly and Easily Releases and Repositions With One Hand Without Disturbing Tuning NO SCRATCHES OR FRET BUZZ- High Quality Silicone Pad Will Protect Your Instrument Against Damage. Steel Spring with Internal Memory. It Puts Just Enough Pressure on the Instrument
› See more product details"
24,Visit the JUAREZ Store,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap",,286 ratings,"₹ 2,499.00","FREE delivery: Thursday, April 22 Details",Only 1 left in stock.,7 Days Replacement,"About this item
Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks"
25,Visit the JUAREZ Store,"Juarez Acoustic Guitar, [ LEFT HANDED] 38 Inch Cutaway, 38CL/BK with Bag, Strings, Pick and Strap, Black",,423 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
First Time In India - [ Left Handed ] Acoustic Guitar with strap, Bag, Strings and 2 Picks, Black Glossy Finish, Number of Frets: 18,
Great looks with an innovative design to produce good quality sound. [ NOTE : THIS GUITAR IS DESIGNED TO SUIT LEFT HANDED GUITAR PLAYERS, NOT SUITABLE FOR RIGHT HANDED GUITAR PLAYERS ]
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Left Handed Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
26,Brand: PSB,PSB Guitar Toys for Kids 4-String Acoustic Guitar Musical Instrument Learning Toy for Kids ( 17 Inches ),,41 ratings,₹ 390.00,"FREE delivery: Saturday, April 24 Details",In stock.,7 Days Returnable,"About this item
It is fully functional Guitar with all the tuning keys and playable.
This guitar toys has fine sound and wooden finishing.
it is made up of plastic and is for playing and learning.
Helps kids have fun and stimulate and develop their talent and interest.
This acoustic guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.
› See more product details"
27,Brand: Crizer,Crizer 4 String Guitar Children's Musical Instrument Educational Toy Guitar Ukulele Instruments Beginner Musical Sound Toys Best Gift for Children,,31 ratings,₹ 829.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"PROVIDES SCREEN FREE FUN: A junior scale 4 string guitar perfect for use on lessons, recitals, band rehearsals, on-stage performances or when practicing at home. The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics.
GREAT FOR BEGINNERS: It has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the music studio or out at a bonfire with friends. Take your music with you.
ENJOY MUSIC ANYTIME: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years.This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
A PERFECT GIFT: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
› See more product details"
28,Visit the JUAREZ Store,"Juarez JRZ-ST01, 6 Strings Electric Guitar, Right Handed with Bag/Case, 2 x Picks (3TS Sunburst)",,156 ratings,"₹ 5,523.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
29,Brand: Our Store,"Our Store 24"" 6 String Decor Guitar Children's Musical Instrument Educational Toy Guitar for Beginners Kids Child (Color May Vary)",,1 rating,"₹ 1,498.00","FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Very Crisp and Clear Sound of Strings.
This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
Helps kids have fun and stimulate and develop their talent & interest. This Guitar Is 24 Inches In Length.
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children. Recommended for ages above 6 years.
› See more product details"
30,Brand: VD Enterprise,VD ENTERPRISE String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,,13 ratings,₹ 879.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Toy Guitar is a Great Creativity for little Kids and increase musical talent in your young rock star. Teaches Kids the basics of rhythm, tempo, strumming and create the worlds of Music for your Kids.
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
This guitar has good sound quality and good wooden finishing it is made up of good quality plastic and is good for playing and learning.
This acoustic guitar makes a great gift for kids and is a great value for the money.
This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
› See more product details"
31,Visit the YAMAHA Store,"YAMAHA Mexa Yamaha F310, Dreadnought Acoustic Guitar with Sponge Bag, Belt and Plectrums Combo Pack",,16 ratings,"₹ 12,499.00",FREE delivery: April 24 - 25 Details,In stock.,7 Days Replacement,"Dreadnought Acoustic Guitar
Durable Product
Includes Sponge Bag, Belt and Plectrums
› See more product details"
32,Brand: Generic,"crown spceil 215, das musical acoustic guitar",,6 ratings,"₹ 3,550.00",FREE delivery: April 24 - 25 Details,In stock.,7 Days Replacement,"crown guitar
adjust tress rod &touch .pick up
rosewood fretboard
color-blue black (glossy)
› See more product details"
33,Brand: DOMENICO,DOMENICO Guitar 4-String Acoustic Guitar Musical Instrument For Learning (23 Inches),,15 ratings,₹ 749.00,FREE delivery,In stock.,7 Days Replacement,"Very Crisp and Clear Sound of Strings
This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
It is fully Functional With All The tuning keys and playable. This Acoustic Guitar is ideal for beginners to get the correct posture and learn how to play different notes.
have fun and stimulate and develop their talent & interest.This Guitar Is 22 Inches In Length.
Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar.Recommended for ages above 6 years.
› See more product details"
34,Visit the blueberry Store,"Blueberry 38C IN TrussRod Acoustic Guitar Kit with Bag, Belt & Picks (Black)",,4 ratings,"₹ 2,895.00",FREE delivery,In stock.,7 Days Replacement,"Material: Top: Spruce wood, Side & Back: - linden wood, Fingerboard:- Rosewood Wood
Bridge：Rosewood, Neck: Catalpa wood, Machine head: Chrome die cast, Finish: Mat Finish
Truss Rod for better adjustment of Guitar Action , Size 38-inch,Style - Cut-way, innovative design to produce good quality sound
Includes: 38"", Acoustic guitar with Belt, bag, and 2 picks
Note: Product design may slightly vary Due to Photography lighting effect
› See more product details"
35,Visit the YAMAHA Store,"Yamaha F280 Acoustic Guitar, Tobacco Brown Sunburst",,6 ratings,"₹ 6,990.00",FREE delivery: April 24 - 25 Details,"In stock on April 22, 2021.
Order it now.",7 Days Replacement,"About this item
Comfortable playability for beginners
High durability and stability proven by Yamaha's quality standard
Made in Yamaha Music India factory"
36,Visit the JUAREZ Store,"JUAREZ Arpéggio 41 Inch Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, Natural",,2 ratings,"₹ 6,659.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Thin Line Sleek Body, Glossy finish, Number of frets - 21, 41 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
White+Black line ABS Binding and full wood construction with geared tuning, wooden frame and Alice Brand Stainless steel copper alloy strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
6 Stainless Steel Alice Brand strings especially for beginners. Wound strings are made of copper alloy. Stainless steel plain string, steel core, copper alloy winding, anti-rust coating.
Material : Top- Spruce Wood, Back, Sides - Linden Solid Wood, Neck - Okoume, Fretboard & Bridge - Rosewood, Machine Head : Chrome Diecast, Stainless Steel Copper Wound Strings
4 Band Equalizer - EQ:7545R"
37,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red",,847 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
38,Visit the YAMAHA Store,YAMAHA FS80C NATURAL CONCERT CUTAWAY GUITAR,,33 ratings,"₹ 7,489.00",FREE delivery: May 1 - 2 Details,"In stock on April 29, 2021.
Order it now.",7 Days Replacement,"About this item
Made in Yamaha Music India factory
Brand: Yamaha
Stainless Steel
High durability and stability proven by Yamaha's quality standard
Concert body cutaway with comfortable playability for beginners"
39,Brand: DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Tuning Peg Silver for Acoustic Guitar Parts Tuners Keys Semi-closed Guitar String Tuning Pegs Tuner Machine Heads Knobs Tuning Keys for Acoustic & Electric Guitar 3R+3L (6PCS),-,-,₹ 499.00,FREE delivery,In stock.,7 Days Replacement,"Package Includes: 6 X Machine heads(3L + 3R),12 X Mounting screws ,6 X Ferrules
Materials: chrome finish zinc alloy metal, plastic
6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right
Adjustable - Guitar machine heads knobs with heavy duty internal gear can be tuned tight to make your guitar sound stable
› See more product details"
40,Brand: DIKUJI ENTERPRISE,DIKUJI ENTERPRISE 6 String Decor Guitar Children's Musical Instrument Educational Toy Guitar for Beginners Kids Childs (Color May Vary),-,-,"₹ 1,299.00","FREE delivery: Sunday, April 25 Details",In stock.,7 Days Replacement,"🎸 Stylish Classic Guitar Produces Vibrant Sounds, Guitar Strings Are Tunable, String Tuning Mechanism Keeps Tuned Strings Tight.
🎸It Is Fully Functional With All The Tuning Keys And Playable. This Children's Sized Acoustic Guitar Toy Is Ideal For Children To Get The Correct Posture And Learn How To Play Different Notes.
🎸This Guitar Has Good Sound Quality It's Very Clear. And The Strings Are Good Quality. Good Wooden Finishing, It Is Made Up Of Good Quality Plastic & Is Good For Playing And Learning.This Guitar Has Good Sound Quality It's Very Clear. And The Strings Are Good Quality. Good Wooden Finishing, It Is Made Up Of Good Quality Plastic & Is Good For Playing And Learning.
🎸This Acoustic Guitar Makes A Great Gift For Kids. Lightweight, Easy To Hold, And Has A Nice Appearance, This Is Not A Professionally Manufactured Guitar, Just A Toy For Children.
🎸This Guitar Is Lightweight And Portable And Comes With Strap So That Your Future Rock Star Can Handle It Easily While Performing.
› See more product details"
